"","submission_id","trialNR","response_prepped","Nchars","prodType"
"105",3268,3,"includes as a consequence",29,"cause"
"106",3274,1,"initiates the procedure",27,"cause"
"107",3274,2,"leads to",12,"cause"
"108",3274,3,"is started by",17,"cause"
"109",3275,1,"leads to",12,"cause"
"110",3275,2,"gives rise to",17,"cause"
"111",3275,3,"induces",11,"cause"
"112",3281,1,"forms",9,"cause"
"113",3281,2,"is",6,"cause"
"114",3281,3,"makes",9,"cause"
"115",3292,1,"can lead to",15,"cause"
"116",3292,2,"results in",15,"cause"
"117",3292,3,"contributes to",18,"cause"
"118",3297,1,"leads to",12,"cause"
"119",3297,2,"precedes",12,"cause"
"120",3297,3,"triggers",12,"cause"
"121",3310,1,"results in",15,"cause"
"122",3310,2,"can lead to",16,"cause"
"123",3310,3,"means",10,"cause"
"124",3270,1,"is responsible for",22,"cause"
"125",3270,2,"makes happen",16,"cause"
"126",3270,3,"makes occur",15,"cause"
"127",3271,1,"is all about bringing the to the",38,"cause"
"128",3271,2,"is all about the",20,"cause"
"129",3271,3,"is going to bring back the",30,"cause"
"130",3272,1,"means",10,"cause"
"131",3272,2,"give rise to",17,"cause"
"132",3272,3,"are the cause of",21,"cause"
"133",3277,1,"is brought on by",20,"cause"
"134",3277,2,"is a cause for",18,"cause"
"135",3277,3,"brings about",16,"cause"
"136",3280,1,"starts",11,"cause"
"137",3280,2,"results in",15,"cause"
"138",3280,3,"begins",11,"cause"
"139",3290,1,"results in",14,"cause"
"140",3290,2,"makes happen",16,"cause"
"141",3290,3,"triggers",12,"cause"
"142",3291,1,"after always happens!",26,"cause"
"143",3291,2,"causes to occur",19,"cause"
"144",3291,3,"makes happen",16,"cause"
"145",3278,1,"can cause",13,"cause"
"146",3278,2,"may often create",20,"cause"
"147",3278,3,"produces",12,"cause"
"148",3283,1,"results in",14,"cause"
"149",3283,2,"leads to",12,"cause"
"150",3283,3,"sequelae is",15,"cause"
"151",3298,1,"brings about",16,"cause"
"152",3298,2,"is the cause of",19,"cause"
"153",3298,3,"is what will give you",25,"cause"
"154",3300,1,"creates",11,"cause"
"155",3300,2,"brings about",16,"cause"
"156",3300,3,"gives way to",16,"cause"
"157",3302,1,"is a substance that results in the production of", 52,"cause"
"158",3302,2,"can cause to appear when used",39,"cause"
"159",3302,3,"when used effectively, can result in", 41,"cause"
"160",3285,1,"leads to", 12,"cause"
"161",3285,2,"can cause", 13,"cause"
"162",3285,3,"results in", 14,"cause"
"163",3289,1,"triggers",12,"cause"
"164",3289,2,"is the cause of",19,"cause"
"165",3289,3,"starts",10,"cause"
"166",3296,1,"is responsible for",22,"cause"
"167",3296,2,"is the main reason for",26,"cause"
"168",3296,3,"is why there is",19,"cause"
"169",3311,1,"is the main cause of creating",34,"cause"
"170",3311,2,"is found in",16,"cause"
"171",3311,3,"brings about",25,"cause"
"172",3323,1,"gives you",13,"cause"
"173",3323,2,"can lead to",15,"cause"
"174",3323,3,"can inflict",15,"cause"
"175",3286,1,"is the reason for", 27,"cause"
"176",3286,2,"gives you", 13,"cause"
"177",3286,3,"presence results in", 23,"cause"
"178",3305,1,"is one thing that causes", 28,"cause"
"179",3305,2,"is a factor that causes", 27,"cause"
"180",3305,3,"is the sole cause of", 24,"cause"
"181",3306,1,"results in",14,"cause"
"182",3306,2,"is the cause of",19,"cause"
"183",3306,3,"starts",10,"cause"
"184",3312,1,"is brought on by",20,"cause"
"185",3312,2,"happens because of",22,"cause"
"186",3312,3,"happens because of",22,"cause"
"187",3314,1,"happens because of",23,"cause"
"188",3314,2,"makes happen",17,"cause"
"189",3314,3,"is a product of",20,"cause"
"190",3321,1,"makes occur",16,"cause"
"191",3321,2,"is the cause of",20,"cause"
"192",3321,3,"occurrence causes",29,"cause"
"193",3288,1,"creates",11,"cause"
"194",3288,2,"gives rise to",17,"cause"
"195",3288,3,"makes happen",16,"cause"
"196",3295,1,"is the cause of",20,"cause"
"197",3295,2,"brings about",16,"cause"
"198",3295,3,"is the agent resulting in 's appearance",42,"cause"
"199",3303,1,"produces a mild case of",27,"cause"
"200",3303,2,"gives rise to",17,"cause"
"201",3303,3,"spawned some",16,"cause"
"202",3315,1,"will no doubt cause",23,"cause"
"203",3315,2,"will cause",14,"cause"
"204",3315,3,"is the route cause of",25,"cause"
"205",3293,1,"results in",14,"cause"
"206",3293,2,"produces",12,"cause"
"207",3293,3,"is the reason for",21,"cause"
"208",3301,1,"results in the occurrence of",33,"cause"
"209",3301,2,"is responsible for",23,"cause"
"210",3301,3,"induces",12,"cause"
"211",3322,1,"seed is",11,"cause"
"212",3322,2,"root is",11,"cause"
"213",3322,3,"beginnings is with",22,"cause"
"214",3304,1,"creates",12,"cause"
"215",3304,2,"is the cause of",20,"cause"
"216",3304,3,"starts",11,"cause"
"217",3308,1,"cause",9,"cause"
"218",3308,2,"is caused by",16,"cause"
"219",3308,3,"causes",10,"cause"
"220",3313,1,"caused by",13,"cause"
"221",3313,2,"caused by",13,"cause"
"222",3313,3,"leads to", 12,"cause"
"223",3299,1,"causes",11,"cause"
"224",3299,2,"is caused by",17,"cause"
"225",3299,3,"is a product of",20,"cause"
"226",3309,1,"D, when used causes",22,"cause"
"227",3309,2,"will be the result when using",35,"cause"
"228",3309,3,"will be the conclusion when is involved",44,"cause"
"229",3307,1,"brings about",16,"cause"
"230",3307,2,"causes",10,"cause"
"231",3307,3,"is",6,"cause"
"232",3316,1,"causes",10,"cause"
"233",3316,2,"leads to",12,"cause"
"234",3316,3,"is brought on by",20,"cause"
"235",3318,1,"will result in",19,"cause"
"236",3318,2,"is the product of",22,"cause"
"237",3318,3,"will give you",18,"cause"
"238",3320,1,"creates",11,"cause"
"239",3320,2,"brings about",16,"cause"
"240",3320,3,"means",9,"cause"
"241",3317,1,"ensures",12,"cause"
"242",3317,2,"makes",9,"cause"
"243",3317,3,"leads to",12,"cause"
"244",3319,1,"is a condition that leads to",33,"cause"
"245",3319,2,"always results in the condition called",43,"cause"
"246",3319,3,"should be avoided at all costs as it leads the dangerous condition",71,"cause"
"247",3325,1,"leads to",12,"cause"
"248",3325,2,"produces",12,"cause"
"249",3325,3,"is a consequence of",23,"cause"
"250",3326,1,"results in",15,"cause"
"251",3326,2,"starts",11,"cause"
"252",3326,3,"is a cause of",18,"cause"
"253",3327,1,"come from", 13,"cause"
"254",3327,2,"is a result of", 18,"cause"
"255",3327,3,"happens after", 17,"cause"
"256",3328,1,"contributes to",18,"cause"
"257",3328,2,"is the start of",19,"cause"
"258",3328,3,"relates to",14,"cause"
"259",3330,1,"begins",10,"cause"
"260",3330,2,"births",10,"cause"
"261",3330,3,"is the catalyst for",23,"cause"
"262",3232,1,"results from",16,"effect"
"263",3232,2,"is caused by",16,"effect"
"264",3232,3,"happens because of",22,"effect"
"265",3233,1,"is created by",17,"effect"
"266",3233,2,"is a result of",18,"effect"
"267",3233,3,"is a product of",19,"effect"
"268",3234,1,"develops into",17,"effect"
"269",3234,2,"brings about",16,"effect"
"270",3234,3,"incurs",10,"effect"
"271",3235,1,"is the result of",20,"effect"
"272",3235,2,"is due to",13,"effect"
"273",3235,3,"happens because of",22,"effect"
"274",3236,1,"follows from",16,"effect"
"275",3236,2,"is the result of",20,"effect"
"276",3236,3,"is caused by",16,"effect"
"277",3239,1,"follows from",16,"effect"
"278",3239,2,"follows from",16,"effect"
"279",3239,3,"follows from",16,"effect"
"280",3240,1,"is a result of",18,"effect"
"281",3240,2,"is brought on by",20,"effect"
"282",3240,3,"is a know effect of",23,"effect"
"283",3241,1,"is caused by",25,"effect"
"284",3241,2,"is a cause of",18,"effect"
"285",3241,3,"originates from",28,"effect"
"286",3244,1,"is caused by", 16,"effect"
"287",3244,2,"follows from", 16,"effect"
"288",3244,3,"caused by", 13,"effect"
"289",3246,1,"is caused by",16,"effect"
"290",3246,2,"is caused by",16,"effect"
"291",3246,3,"is caused by",16,"effect"
"292",3248,1,"precedes",12,"effect"
"293",3248,2,"comes before",16,"effect"
"294",3248,3,"triggers",12,"effect"
"295",3250,1,"results from",17,"effect"
"296",3250,2,"leads to",13,"effect"
"297",3250,3,"is caused by",17,"effect"
"298",3253,1,"is generated from",21,"effect"
"299",3253,2,"is derived from",19,"effect"
"300",3253,3,"is a product of",19,"effect"
"301",3247,1,"is a direct result of",26,"effect"
"302",3247,2,"is a result of",18,"effect"
"303",3247,3,"is directly linked to",25,"effect"
"304",3249,1,"is caused by",16,"effect"
"305",3249,2,"is created by",17,"effect"
"306",3249,3,"is the result of",20,"effect"
"307",3251,1,"happens as a result of",27,"effect"
"308",3251,2,"is caused by",17,"effect"
"309",3251,3,"results from",17,"effect"
"310",3256,1,"comes from", 14,"effect"
"311",3256,2,"is a result of", 18,"effect"
"312",3256,3,"is a consequence of", 23,"effect"
"313",3252,1,"is a result of", 18,"effect"
"314",3252,2,"happens because of", 22,"effect"
"315",3252,3,"is produced via", 19,"effect"
"316",3254,1,"is caused by",16,"effect"
"317",3254,2,"happens after exposure to",29,"effect"
"318",3254,3,"appears after",17,"effect"
"319",3255,1,"is caused by",16,"effect"
"320",3255,2,"is caused by",16,"effect"
"321",3255,3,"is a result of",18,"effect"
"322",3257,1,"is caused by",16,"effect"
"323",3257,2,"is a consequence of",23,"effect"
"324",3257,3,"is a direct consequence of",30,"effect"
"325",3258,1,"is caused by", 16,"effect"
"326",3258,2,"is the result of", 20,"effect"
"327",3258,3,"happens after", 17,"effect"
"328",3259,1,"happens after",17,"effect"
"329",3259,2,"is after",12,"effect"
"330",3259,3,"happpens after",18,"effect"
"331",3260,1,"is brought about by",23,"effect"
"332",3260,2,"is created by",17,"effect"
"333",3260,3,"stems from",14,"effect"
"334",3261,1,"is the cause of",19,"effect"
"335",3261,2,"creates the conditions for",30,"effect"
"336",3261,3,"is the cause of",19,"effect"
"337",3262,1,"is after",12,"effect"
"338",3262,2,"follows from",16,"effect"
"339",3262,3,"is after",12,"effect"
"340",3263,1,"follows on from",19,"effect"
"341",3263,2,"comes after",15,"effect"
"342",3263,3,"is after",12,"effect"
"343",3264,1,"is caused by",16,"effect"
"344",3264,2,"is the result of",20,"effect"
"345",3264,3,"is because of",17,"effect"
"346",3265,1,"is the end result from", 26,"effect"
"347",3265,2,"is a factor of", 18,"effect"
"348",3265,3,"is a result of", 18,"effect"
"349",3266,1,"happens due to",18,"effect"
"350",3266,2,"is a result of",18,"effect"
"351",3266,3,"occurs after",16,"effect"
"352",3267,1,"will occur after use of",27,"effect"
"353",3267,2,"will happen after using",33,"effect"
"354",3267,3,"is caused by",16,"effect"
"355",3273,1,"is caused by even minute levels of",38,"effect"
"356",3273,2,"is the result of ingesting",30,"effect"
"357",3273,3,"disorder is a consqeuence of the liver producing excess",59,"effect"
"358",3276,1,"is what comes from",23,"effect"
"359",3276,2,"comes from the source,  which is",37,"effect"
"360",3276,3,"comes from which is the origin",35,"effect"
"361",3284,1,"happens due to",19,"effect"
"362",3284,2,"is due to",13,"effect"
"363",3284,3,"happens because",20,"effect"
"364",3268,1,"is a byproduct of", 22,"effect"
"365",3268,2,"is a direct cause of", 24,"effect"
"366",3268,3,"is a result of", 18,"effect"
"367",3274,1,"is a result of", 18,"effect"
"368",3274,2,"is the final outcome of", 27,"effect"
"369",3274,3,"is the end stage of", 23,"effect"
"370",3275,1,"is caused by",16,"effect"
"371",3275,2,"comes from",14,"effect"
"372",3275,3,"occurs due to",17,"effect"
"373",3281,1,"is made from",16,"effect"
"374",3281,2,"mixes with",14,"effect"
"375",3281,3,"shadows from",16,"effect"
"376",3292,1,"is caused by",16,"effect"
"377",3292,2,"is a result of",18,"effect"
"378",3292,3,"happens due to",18,"effect"
"379",3297,1,"is the result of",20,"effect"
"380",3297,2,"is because of",17,"effect"
"381",3297,3,"is the endpoint of",22,"effect"
"382",3310,1,"is caused by",17,"effect"
"383",3310,2,"is the result of",21,"effect"
"384",3310,3,"exists because of",22,"effect"
"385",3270,1,"occurs after",16,"effect"
"386",3270,2,"happens after",17,"effect"
"387",3270,3,"is after",12,"effect"
"388",3271,1,"is all about the", 20,"effect"
"389",3271,2,"is taking the back",22,"effect"
"390",3271,3,"will follow the", 19,"effect"
"391",3272,1,"spawns from",16,"effect"
"392",3272,2,"is caused by",24,"effect"
"393",3272,3,"results from",17,"effect"
"394",3277,1,"is caused by",16,"effect"
"395",3277,2,"derives from",16,"effect"
"396",3277,3,"follows from",16,"effect"
"397",3280,1,"comes after",16,"effect"
"398",3280,2,"is caused by",17,"effect"
"399",3280,3,"is caused by",17,"effect"
"400",3290,1,"are caused by",17,"effect"
"401",3290,2,"are a result of",19,"effect"
"402",3290,3,"occur due to",16,"effect"
"403",3291,1,"is always caused by",23,"effect"
"404",3291,2,"comes with",14,"effect"
"405",3291,3,"happens because of",22,"effect"
"406",3278,1,"can be caused by", 20,"effect"
"407",3278,2,"is produced by", 18,"effect"
"408",3278,3,"is a product of", 19,"effect"
"409",3283,1,"is caused by",16,"effect"
"410",3283,2,"is a result of",18,"effect"
"411",3283,3,"follows on from",19,"effect"
"412",3298,1,"is what goes on to cause",28,"effect"
"413",3298,2,"is caused by",16,"effect"
"414",3298,3,"is the end stage of what began as",37,"effect"
"415",3300,1,"are created by",18,"effect"
"416",3300,2,"comes from",14,"effect"
"417",3300,3,"are the result of",21,"effect"
"418",3302,1,"is produced when is present",31,"effect"
"419",3302,2,"is a product of",19,"effect"
"420",3302,3,"can appear when is made",27,"effect"
"421",3285,1,"is caused by",16,"effect"
"422",3285,2,"results from",16,"effect"
"423",3285,3,"happens with",16,"effect"
"424",3289,1,"is cause by", 15,"effect"
"425",3289,2,"follows from", 16,"effect"
"426",3289,3,"is initiated by", 19,"effect"
"427",3296,1,"is started because of",25,"effect"
"428",3296,2,"came about because of",25,"effect"
"429",3296,3,"exists because of",21,"effect"
"430",3311,1,"is made up from the use of",31,"effect"
"431",3311,2,"follows from",17,"effect"
"432",3311,3,"is a product of",20,"effect"
"433",3323,1,"develops from", 17,"effect"
"434",3323,2,"has lead from", 17,"effect"
"435",3323,3,"originated from", 19,"effect"
"436",3286,1,"is a result of",18,"effect"
"437",3286,2,"comes from",14,"effect"
"438",3286,3,"is the reason for presence",30,"effect"
"439",3305,1,"is caused by",16,"effect"
"440",3305,2,"is affected by",18,"effect"
"441",3305,3,"is only caused by",21,"effect"
"442",3306,1,"is caused by",16,"effect"
"443",3306,2,"is a result of",18,"effect"
"444",3306,3,"starts from",15,"effect"
"445",3312,1,"is caused by",16,"effect"
"446",3312,2,"comes after",15,"effect"
"447",3312,3,"happens because of",22,"effect"
"448",3314,1,"happens because of",23,"effect"
"449",3314,2,"is what you get after happens",34,"effect"
"450",3314,3,"is an effect of",20,"effect"
"451",3321,1,"is the consequence of",26,"effect"
"452",3321,2,"occurs because of",22,"effect"
"453",3321,3,"is what you can expect, should you have",44,"effect"
"454",3288,1,"comes from", 14,"effect"
"455",3288,2,"results from", 16,"effect"
"456",3288,3,"is caused by", 16,"effect"
"457",3295,1,"is caused by",16,"effect"
"458",3295,2,"comes about because of",26,"effect"
"459",3295,3,"is a result of",18,"effect"
"460",3303,1,"gave way to",16,"effect"
"461",3303,2,"came after",14,"effect"
"462",3303,3,"was produced from",21,"effect"
"463",3315,1,"is caused by",16,"effect"
"464",3315,2,"is a direct cause of",24,"effect"
"465",3315,3,"is due to",13,"effect"
"466",3293,1,"is caused by",16,"effect"
"467",3293,2,"is a result of",18,"effect"
"468",3293,3,"is the outcome of",21,"effect"
"469",3301,1,"is a results of",20,"effect"
"470",3301,2,"is a consequence of",24,"effect"
"471",3301,3,"stems from",15,"effect"
"472",3322,1,"aim with",12,"effect"
"473",3322,2,"purpose is",14,"effect"
"474",3322,3,"'s objective is",18,"effect"
"475",3304,1,"is caused by",17,"effect"
"476",3304,2,"is created by",18,"effect"
"477",3304,3,"begins with",16,"effect"
"478",3308,1,"is caused by the presence of",32,"effect"
"479",3308,2,"are the cause of", 20,"effect"
"480",3308,3,"is caused by",16,"effect"
"481",3313,1,"caused by",13,"effect"
"482",3313,2,"is caused by",16,"effect"
"483",3313,3,"are linked to",14,"effect"
"484",3299,1,"causes",11,"effect"
"485",3299,2,"is caused by",17,"effect"
"486",3299,3,"the cause of is",20,"effect"
"487",3309,1,"is caused by",17,"effect"
"488",3309,2,"is the result of been used",31,"effect"
"489",3309,3,"is the result of use",25,"effect"
"490",3307,1,"follows from",16,"effect"
"491",3307,2,"causes",10,"effect"
"492",3307,3,"is",6,"effect"
"493",3316,1,"is caused by",16,"effect"
"494",3316,2,"is a result of",18,"effect"
"495",3316,3,"is brought on by",20,"effect"
"496",3318,1,"is caused by",17,"effect"
"497",3318,2,"follows",12,"effect"
"498",3318,3,"is the result of",21,"effect"
"499",3320,1,"creates",11,"effect"
"500",3320,2,"follows on from",19,"effect"
"501",3320,3,"causes",10,"effect"
"502",3317,1,"results in",14,"effect"
"503",3317,2,"creates",11,"effect"
"504",3317,3,"generates",13,"effect"
"505",3319,1,"is a direct result of having",38,"effect"
"506",3319,2,"always is a outcome of previosly having had",48,"effect"
"507",3319,3,"is an acute illness that is proven to follow a bout of",59,"effect"
"508",3325,1,"results from",16,"effect"
"509",3325,2,"is a result of",18,"effect"
"510",3325,3,"is a consequence of",23,"effect"
"511",3326,1,"is the result of",21,"effect"
"512",3326,2,"comes after",16,"effect"
"513",3326,3,"comes about after",22,"effect"
"514",3327,1,"is a result of",18,"effect"
"515",3327,2,"come from",13,"effect"
"516",3327,3,"came about from",19,"effect"
"517",3328,1,"comes from",14,"effect"
"518",3328,2,"is caused from",18,"effect"
"519",3328,3,"triggers",12,"effect"
"520",3330,1,"is a byproduct of",21,"effect"
"521",3330,2,"is born from",16,"effect"
"522",3330,3,"is preceded by",18,"effect"
