submission_id,age,choice1,choice2,choiceNameFirst,comments,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemType,languages,name1,name2,prompt,response,responseTime,targeted,trialNR
1750,76,Rebosen causes Agoriv.,Agoriv causes Rebosen.,Rebosen,,Graduated High-school,26236,1705075082985,1705075056749,male,disease,English,Agoriv,Rebosen,Agoriv has been found to be associated with the disease Rebosen.,Agoriv causes Rebosen.,3668,second,0
1751,34,Flembers causes Rebosen.,Rebosen causes Flembers.,Flembers,,Graduated College,407801,1705075117702,1705074709901,female,disease,british,Rebosen,Flembers,Rebosen has been found to be associated with the disease Flembers.,Flembers causes Rebosen.,25499,second,0
1752,55,Flembers causes Rebosen.,Rebosen causes Flembers.,Flembers,,Graduated College,76148,1705075239862,1705075163714,male,drug,English,Rebosen,Flembers,Rebosen has been found to be associated with the drug Flembers.,Flembers causes Rebosen.,39561,second,0
1753,63,Denoden causes Rebosen.,Rebosen causes Denoden.,Denoden,,Graduated College,50590,1705075256803,1705075206213,female,disease,English,Rebosen,Denoden,The disease Rebosen has been found to be associated with Denoden.,Rebosen causes Denoden.,23693,first,0
1754,61,Flembers causes Rebosen.,Rebosen causes Flembers.,Flembers,,Higher degree,89897,1705075429783,1705075339886,male,disease,English ,Rebosen,Flembers,Rebosen has been found to be associated with the disease Flembers.,Flembers causes Rebosen.,39341,second,0
1755,26,Agoriv causes Ceflar.,Ceflar causes Agoriv.,Agoriv,,Graduated High-school,24554,1705076146476,1705076121922,male,drug,English,Agoriv,Ceflar,Agoriv has been found to be associated with the drug Ceflar.,Agoriv causes Ceflar.,12680,second,0
1342,26,Flembers causes Rebosen.,Rebosen causes Flembers.,Flembers,,Higher degree,134700,1705073361858,1705073227158,male,disease,english,Rebosen,Flembers,The disease Rebosen has been found to be associated with Flembers.,Rebosen causes Flembers.,11446,first,0
1343,60,Flembers causes Agoriv.,Agoriv causes Flembers.,Flembers,,Higher degree,65450,1705073388893,1705073323443,female,drug,English,Agoriv,Flembers,The drug Agoriv has been found to be associated with Flembers.,Agoriv causes Flembers.,28174,first,0
1344,45,Flembers causes Ceflar.,Ceflar causes Flembers.,Flembers,,Higher degree,42853,1705073407067,1705073364214,female,disease,English,Flembers,Ceflar,The disease Flembers has been found to be associated with Ceflar.,Ceflar causes Flembers.,20023,first,0
1345,21,Ceflar causes Themaglin.,Themaglin causes Ceflar.,Ceflar,,Graduated College,51531,1705073432917,1705073381386,female,disease,English,Themaglin,Ceflar,Themaglin has been found to be associated with the disease Ceflar.,Themaglin causes Ceflar.,26555,second,0
1346,30,Rebosen causes Ceflar.,Ceflar causes Rebosen.,Rebosen,,Graduated College,54548,1705073451178,1705073396630,male,drug,English,Ceflar,Rebosen,The drug Ceflar has been found to be associated with Rebosen.,Ceflar causes Rebosen.,26761,first,0
1354,32,Denoden causes Ceflar.,Ceflar causes Denoden.,Denoden,,Higher degree,33774,1705073630713,1705073596939,other,disease,English,Ceflar,Denoden,Ceflar has been found to be associated with the disease Denoden.,Denoden causes Ceflar.,18670,second,0
1369,32,Flembers causes Denoden.,Denoden causes Flembers.,Flembers,,Graduated College,76428,1705073803361,1705073726933,female,drug,English,Flembers,Denoden,Flembers has been found to be associated with the drug Denoden.,Denoden causes Flembers.,36636,second,0
1375,55,Denoden causes Ceflar.,Ceflar causes Denoden.,Denoden,,Graduated High-school,56646,1705073845980,1705073789334,female,drug,English,Ceflar,Denoden,Ceflar has been found to be associated with the drug Denoden.,Denoden causes Ceflar.,29776,second,0
1396,39,Agoriv causes Denoden.,Denoden causes Agoriv.,Agoriv,I did not agree with either statement.,Higher degree,90677,1705073942440,1705073851763,female,disease,English,Agoriv,Denoden,The disease Agoriv has been found to be associated with Denoden.,Denoden causes Agoriv.,41758,first,0
1347,19,Denoden causes Rebosen.,Rebosen causes Denoden.,Denoden,,Graduated High-school,27965,1705073478979,1705073451014,male,drug,English,Rebosen,Denoden,Rebosen has been found to be associated with the drug Denoden.,Denoden causes Rebosen.,15290,second,0
1349,56,Flembers causes Ceflar.,Ceflar causes Flembers.,Flembers,,Graduated College,45111,1705073523786,1705073478675,female,drug,English,Flembers,Ceflar,Flembers has been found to be associated with the drug Ceflar.,Ceflar causes Flembers.,21196,second,0
1357,32,Rebosen causes Flembers.,Flembers causes Rebosen.,Rebosen,,Graduated College,43451,1705073691192,1705073647741,female,disease,British,Flembers,Rebosen,The disease Flembers has been found to be associated with Rebosen.,Rebosen causes Flembers.,24314,first,0
1358,19,Ceflar causes Rebosen.,Rebosen causes Ceflar.,Ceflar,,Graduated High-school,18625,1705073694407,1705073675782,male,disease,English,Ceflar,Rebosen,Ceflar has been found to be associated with the disease Rebosen.,Ceflar causes Rebosen.,4017,second,0
1366,33,Themaglin causes Flembers.,Flembers causes Themaglin.,Themaglin,,Graduated College,47393,1705073770753,1705073723360,female,drug,English,Themaglin,Flembers,The drug Themaglin has been found to be associated with Flembers.,Themaglin causes Flembers.,20248,first,0
1384,36,Rebosen causes Denoden.,Denoden causes Rebosen.,Rebosen,,Graduated High-school,59056,1705073885261,1705073826205,female,disease,English,Rebosen,Denoden,Rebosen has been found to be associated with the disease Denoden.,Denoden causes Rebosen.,41329,second,0
1400,51,Flembers causes Themaglin.,Themaglin causes Flembers.,Flembers,,Graduated High-school,61963,1705073956372,1705073894409,female,drug,English,Themaglin,Flembers,Themaglin has been found to be associated with the drug Flembers.,Flembers causes Themaglin.,30647,second,0
1348,51,Agoriv causes Rebosen.,Rebosen causes Agoriv.,Agoriv,,Graduated College,46098,1705073480213,1705073434115,female,disease,English,Agoriv,Rebosen,The disease Agoriv has been found to be associated with Rebosen.,Rebosen causes Agoriv.,16915,first,0
1362,69,Denoden causes Rebosen.,Rebosen causes Denoden.,Denoden,,Graduated High-school,135727,1705073713504,1705073577777,female,drug,English,Rebosen,Denoden,The drug Rebosen has been found to be associated with Denoden.,Rebosen causes Denoden.,76262,first,0
1368,50,Themaglin causes Agoriv.,Agoriv causes Themaglin.,Themaglin,,Graduated College,53911,1705073804838,1705073750927,female,drug,english,Agoriv,Themaglin,Agoriv has been found to be associated with the drug Themaglin.,Themaglin causes Agoriv.,27970,second,0
1350,31,Denoden causes Ceflar.,Ceflar causes Denoden.,Denoden,,Graduated College,24306,1705073524439,1705073500133,female,drug,English,Ceflar,Denoden,The drug Ceflar has been found to be associated with Denoden.,Ceflar causes Denoden.,8208,first,0
1351,29,Agoriv causes Ceflar.,Ceflar causes Agoriv.,Agoriv,N/a,Graduated College,66113,1705073535911,1705073469798,female,disease,English,Agoriv,Ceflar,The disease Agoriv has been found to be associated with Ceflar.,Ceflar causes Agoriv.,29356,first,0
1352,35,Rebosen causes Denoden.,Denoden causes Rebosen.,Rebosen,,Higher degree,19486,1705073549619,1705073530133,male,drug,English,Rebosen,Denoden,Rebosen has been found to be associated with the drug Denoden.,Denoden causes Rebosen.,8715,second,0
1377,47,Denoden causes Themaglin.,Themaglin causes Denoden.,Denoden,,Higher degree,36155,1705073869139,1705073832984,female,disease,British,Denoden,Themaglin,The disease Denoden has been found to be associated with Themaglin.,Themaglin causes Denoden.,17220,first,0
1378,21,Ceflar causes Flembers.,Flembers causes Ceflar.,Ceflar,,Higher degree,51213,1705073874223,1705073823010,male,disease,english,Flembers,Ceflar,The disease Flembers has been found to be associated with Ceflar.,Ceflar causes Flembers.,28979,first,0
1409,64,Agoriv causes Rebosen.,Rebosen causes Agoriv.,Agoriv,,Graduated High-school,74740,1705074014859,1705073940119,female,drug,English,Rebosen,Agoriv,The drug Rebosen has been found to be associated with Agoriv.,Rebosen causes Agoriv.,34844,first,0
1411,62,Rebosen causes Agoriv.,Agoriv causes Rebosen.,Rebosen,,Higher degree,45590,1705074029173,1705073983583,female,drug,english,Agoriv,Rebosen,The drug Agoriv has been found to be associated with Rebosen.,Agoriv causes Rebosen.,29726,first,0
1419,60,Ceflar causes Denoden.,Denoden causes Ceflar.,Ceflar,None,Graduated College,54525,1705074062904,1705074008379,female,disease,English,Denoden,Ceflar,The disease Denoden has been found to be associated with Ceflar.,Ceflar causes Denoden.,20530,first,0
1422,58,Agoriv causes Themaglin.,Themaglin causes Agoriv.,Agoriv,,Graduated High-school,49116,1705074076225,1705074027109,male,drug,English,Themaglin,Agoriv,The drug Themaglin has been found to be associated with Agoriv.,Agoriv causes Themaglin.,23622,first,0
1424,26,Themaglin causes Flembers.,Flembers causes Themaglin.,Themaglin,,Graduated College,37511,1705074087351,1705074049840,female,drug,English ,Themaglin,Flembers,The drug Themaglin has been found to be associated with Flembers.,Themaglin causes Flembers.,14903,first,0
1434,23,Denoden causes Themaglin.,Themaglin causes Denoden.,Denoden,,Higher degree,41138,1705074112923,1705074071785,male,drug,English,Themaglin,Denoden,The drug Themaglin has been found to be associated with Denoden.,Themaglin causes Denoden.,17213,first,0
1353,27,Denoden causes Ceflar.,Ceflar causes Denoden.,Denoden,,Graduated College,43793,1705073562493,1705073518700,male,disease,English,Denoden,Ceflar,The disease Denoden has been found to be associated with Ceflar.,Ceflar causes Denoden.,12871,first,0
1359,52,Rebosen causes Agoriv.,Agoriv causes Rebosen.,Rebosen,,Graduated High-school,83074,1705073699408,1705073616334,male,disease,english,Agoriv,Rebosen,The disease Agoriv has been found to be associated with Rebosen.,Rebosen causes Agoriv.,52075,first,0
1380,42,Themaglin causes Ceflar.,Ceflar causes Themaglin.,Themaglin,,Graduated High-school,71644,1705073878781,1705073807137,female,disease,English,Ceflar,Themaglin,The disease Ceflar has been found to be associated with Themaglin.,Themaglin causes Ceflar.,35095,first,0
1382,44,Themaglin causes Ceflar.,Ceflar causes Themaglin.,Themaglin,,Higher degree,106133,1705073882903,1705073776770,female,drug,English,Themaglin,Ceflar,Themaglin has been found to be associated with the drug Ceflar.,Ceflar causes Themaglin.,60527,second,0
1390,64,Ceflar causes Themaglin.,Themaglin causes Ceflar.,Ceflar,,Graduated College,69428,1705073921297,1705073851869,female,disease,English,Themaglin,Ceflar,Themaglin has been found to be associated with the disease Ceflar.,Themaglin causes Ceflar.,39487,second,0
1391,36,Denoden causes Flembers.,Flembers causes Denoden.,Denoden,,Higher degree,64134,1705073926877,1705073862743,male,drug,English,Denoden,Flembers,Denoden has been found to be associated with the drug Flembers.,Flembers causes Denoden.,32703,second,0
1406,32,Agoriv causes Flembers.,Flembers causes Agoriv.,Agoriv,,Higher degree,24401,1705073989358,1705073964957,female,disease,english,Flembers,Agoriv,The disease Flembers has been found to be associated with Agoriv.,Agoriv causes Flembers.,11881,first,0
1410,62,Rebosen causes Denoden.,Denoden causes Rebosen.,Rebosen,,Graduated High-school,68968,1705074026272,1705073957304,female,disease,English ,Rebosen,Denoden,The disease Rebosen has been found to be associated with Denoden.,Denoden causes Rebosen.,34886,first,0
1412,28,Themaglin causes Agoriv.,Agoriv causes Themaglin.,Themaglin,,Higher degree,29313,1705074035429,1705074006116,female,disease,British,Agoriv,Themaglin,Agoriv has been found to be associated with the disease Themaglin.,Themaglin causes Agoriv.,16866,second,0
1355,63,Agoriv causes Themaglin.,Themaglin causes Agoriv.,Agoriv,,Graduated College,50560,1705073663657,1705073613097,female,disease,English,Agoriv,Themaglin,Agoriv has been found to be associated with the disease Themaglin.,Agoriv causes Themaglin.,26403,second,0
1365,22,Themaglin causes Rebosen.,Rebosen causes Themaglin.,Themaglin,,,26991,1705073748937,1705073721946,male,disease,English ,Rebosen,Themaglin,Rebosen has been found to be associated with the disease Themaglin.,Themaglin causes Rebosen.,6809,second,0
1371,60,Agoriv causes Themaglin.,Themaglin causes Agoriv.,Agoriv,,Graduated High-school,114092,1705073820840,1705073706748,female,drug,English,Themaglin,Agoriv,Themaglin has been found to be associated with the drug Agoriv.,Agoriv causes Themaglin.,90177,second,0
1356,63,Agoriv causes Ceflar.,Ceflar causes Agoriv.,Agoriv,,Graduated High-school,68466,1705073690850,1705073622384,female,disease,English,Agoriv,Ceflar,Agoriv has been found to be associated with the disease Ceflar.,Agoriv causes Ceflar.,36744,second,0
1360,21,Denoden causes Themaglin.,Themaglin causes Denoden.,Denoden,,Higher degree,33758,1705073709667,1705073675909,male,disease,English,Denoden,Themaglin,The disease Denoden has been found to be associated with Themaglin.,Denoden causes Themaglin.,13909,first,0
1363,38,Themaglin causes Flembers.,Flembers causes Themaglin.,Themaglin,None,Graduated High-school,69990,1705073716594,1705073646604,female,disease,English,Flembers,Themaglin,The disease Flembers has been found to be associated with Themaglin.,Themaglin causes Flembers.,30792,first,0
1367,30,Denoden causes Rebosen.,Rebosen causes Denoden.,Denoden,,Graduated College,35343,1705073794346,1705073759003,male,disease,English,Rebosen,Denoden,The disease Rebosen has been found to be associated with Denoden.,Denoden causes Rebosen.,18607,first,0
1388,37,Rebosen causes Denoden.,Denoden causes Rebosen.,Rebosen,,Graduated High-school,39244,1705073912963,1705073873719,female,disease,English,Rebosen,Denoden,Rebosen has been found to be associated with the disease Denoden.,Denoden causes Rebosen.,18330,second,0
1389,22,Rebosen causes Themaglin.,Themaglin causes Rebosen.,Rebosen,,Graduated High-school,32791,1705073920407,1705073887616,male,disease,"Vietnamese, English",Rebosen,Themaglin,The disease Rebosen has been found to be associated with Themaglin.,Themaglin causes Rebosen.,11569,first,0
1395,51,Agoriv causes Ceflar.,Ceflar causes Agoriv.,Agoriv,,Higher degree,45093,1705073936663,1705073891570,female,disease,English,Agoriv,Ceflar,Agoriv has been found to be associated with the disease Ceflar.,Ceflar causes Agoriv.,18735,second,0
1398,62,Themaglin causes Agoriv.,Agoriv causes Themaglin.,Themaglin,,Higher degree,41328,1705073960128,1705073918800,male,disease,,Agoriv,Themaglin,Agoriv has been found to be associated with the disease Themaglin.,Themaglin causes Agoriv.,25058,second,0
1361,31,Agoriv causes Rebosen.,Rebosen causes Agoriv.,Agoriv,,Graduated College,40124,1705073711603,1705073671479,female,disease,English,Rebosen,Agoriv,Rebosen has been found to be associated with the disease Agoriv.,Agoriv causes Rebosen.,16784,second,0
1376,48,Denoden causes Agoriv.,Agoriv causes Denoden.,Denoden,,Graduated College,87461,1705073857337,1705073769876,female,drug,English,Denoden,Agoriv,The drug Denoden has been found to be associated with Agoriv.,Denoden causes Agoriv.,51562,first,0
1381,27,Denoden causes Agoriv.,Agoriv causes Denoden.,Denoden,,Higher degree,26648,1705073879121,1705073852473,female,drug,english,Agoriv,Denoden,Agoriv has been found to be associated with the drug Denoden.,Denoden causes Agoriv.,14801,second,0
1364,26,Ceflar causes Denoden.,Denoden causes Ceflar.,Ceflar,,Higher degree,36879,1705073748920,1705073712041,female,disease,"English, Finnish",Ceflar,Denoden,The disease Ceflar has been found to be associated with Denoden.,Denoden causes Ceflar.,13973,first,0
1379,56,Denoden causes Rebosen.,Rebosen causes Denoden.,Denoden,,Graduated College,58060,1705073874808,1705073816748,female,disease,english,Rebosen,Denoden,Rebosen has been found to be associated with the disease Denoden.,Rebosen causes Denoden.,27736,second,0
1386,28,Ceflar causes Themaglin.,Themaglin causes Ceflar.,Ceflar,,Higher degree,70329,1705073905356,1705073835027,female,disease,english,Themaglin,Ceflar,The disease Themaglin has been found to be associated with Ceflar.,Ceflar causes Themaglin.,54682,first,0
1402,41,Agoriv causes Themaglin.,Themaglin causes Agoriv.,Agoriv,,Higher degree,36111,1705073967069,1705073930958,female,disease,English ,Agoriv,Themaglin,The disease Agoriv has been found to be associated with Themaglin.,Themaglin causes Agoriv.,17388,first,0
1423,35,Flembers causes Themaglin.,Themaglin causes Flembers.,Flembers,no,Graduated High-school,98101,1705074084646,1705073986545,female,drug,english,Themaglin,Flembers,Themaglin has been found to be associated with the drug Flembers.,Flembers causes Themaglin.,31823,second,0
1429,37,Denoden causes Flembers.,Flembers causes Denoden.,Denoden,,Higher degree,59915,1705074097983,1705074038068,female,drug,English,Flembers,Denoden,The drug Flembers has been found to be associated with Denoden.,Flembers causes Denoden.,35329,first,0
1431,52,Agoriv causes Ceflar.,Ceflar causes Agoriv.,Agoriv,,Graduated College,74024,1705074104629,1705074030605,male,disease,English,Ceflar,Agoriv,The disease Ceflar has been found to be associated with Agoriv.,Agoriv causes Ceflar.,38502,first,0
1370,51,Flembers causes Agoriv.,Agoriv causes Flembers.,Flembers,,Graduated College,73866,1705073810421,1705073736555,female,disease,English,Flembers,Agoriv,The disease Flembers has been found to be associated with Agoriv.,Flembers causes Agoriv.,40065,first,0
1372,42,Rebosen causes Flembers.,Flembers causes Rebosen.,Rebosen,,Higher degree,40461,1705073829153,1705073788692,male,drug,English ,Flembers,Rebosen,The drug Flembers has been found to be associated with Rebosen.,Flembers causes Rebosen.,20851,first,0
1374,47,Flembers causes Rebosen.,Rebosen causes Flembers.,Flembers,,Graduated High-school,57712,1705073846007,1705073788296,female,disease,English ,Rebosen,Flembers,The disease Rebosen has been found to be associated with Flembers.,Rebosen causes Flembers.,33938,first,0
1373,43,Flembers causes Ceflar.,Ceflar causes Flembers.,Flembers,,Higher degree,32793,1705073833679,1705073800886,female,drug,English,Flembers,Ceflar,The drug Flembers has been found to be associated with Ceflar.,Flembers causes Ceflar.,13133,first,0
1385,29,Flembers causes Themaglin.,Themaglin causes Flembers.,Flembers,,Higher degree,56084,1705073890812,1705073834728,male,drug,English,Flembers,Themaglin,Flembers has been found to be associated with the drug Themaglin.,Themaglin causes Flembers.,34498,second,0
1393,42,Agoriv causes Denoden.,Denoden causes Agoriv.,Agoriv,,Graduated College,50769,1705073927215,1705073876446,female,drug,English,Denoden,Agoriv,The drug Denoden has been found to be associated with Agoriv.,Denoden causes Agoriv.,21553,first,0
1383,37,Rebosen causes Flembers.,Flembers causes Rebosen.,Rebosen,,Higher degree,47905,1705073883504,1705073835599,female,drug,English,Rebosen,Flembers,Rebosen has been found to be associated with the drug Flembers.,Flembers causes Rebosen.,23221,second,0
1401,68,Denoden causes Rebosen.,Rebosen causes Denoden.,Denoden,,Higher degree,50218,1705073966825,1705073916607,female,drug,English,Denoden,Rebosen,The drug Denoden has been found to be associated with Rebosen.,Denoden causes Rebosen.,25069,first,0
1418,42,Agoriv causes Ceflar.,Ceflar causes Agoriv.,Agoriv,,Graduated College,68424,1705074052752,1705073984328,male,drug,English,Ceflar,Agoriv,Ceflar has been found to be associated with the drug Agoriv.,Agoriv causes Ceflar.,12795,second,0
1435,47,Rebosen causes Agoriv.,Agoriv causes Rebosen.,Rebosen,,Graduated High-school,84015,1705074108434,1705074024419,female,drug,English ,Agoriv,Rebosen,The drug Agoriv has been found to be associated with Rebosen.,Agoriv causes Rebosen.,49024,first,0
1387,50,Agoriv causes Denoden.,Denoden causes Agoriv.,Agoriv,,Graduated High-school,44897,1705073911451,1705073866554,male,disease,,Denoden,Agoriv,The disease Denoden has been found to be associated with Agoriv.,Agoriv causes Denoden.,27084,first,0
1392,59,Flembers causes Agoriv.,Agoriv causes Flembers.,Flembers,"Could be either, but in medical and drug language, associated with normally means a side effect, causation or outcome in symptomaligical terms.",Higher degree,130384,1705073925717,1705073795333,female,drug,English,Agoriv,Flembers,Agoriv has been found to be associated with the drug Flembers.,Flembers causes Agoriv.,38582,second,0
1421,49,Flembers causes Ceflar.,Ceflar causes Flembers.,Flembers,,Higher degree,44777,1705074064958,1705074020181,female,drug,english,Flembers,Ceflar,The drug Flembers has been found to be associated with Ceflar.,Ceflar causes Flembers.,28388,first,0
1432,39,Denoden causes Flembers.,Flembers causes Denoden.,Denoden,,Higher degree,72881,1705074105937,1705074033056,female,drug,English,Denoden,Flembers,Denoden has been found to be associated with the drug Flembers.,Flembers causes Denoden.,34551,second,0
1394,52,Ceflar causes Denoden.,Denoden causes Ceflar.,Ceflar,,Higher degree,38937,1705073935217,1705073896280,female,disease,english,Ceflar,Denoden,Ceflar has been found to be associated with the disease Denoden.,Ceflar causes Denoden.,20352,second,0
1405,26,Rebosen causes Flembers.,Flembers causes Rebosen.,Rebosen,,Graduated High-school,85046,1705073986345,1705073901299,female,drug,English,Rebosen,Flembers,Rebosen has been found to be associated with the drug Flembers.,Flembers causes Rebosen.,71081,second,0
1413,36,Flembers causes Themaglin.,Themaglin causes Flembers.,Flembers,,Higher degree,38844,1705074048966,1705074010122,female,drug,english,Themaglin,Flembers,The drug Themaglin has been found to be associated with Flembers.,Themaglin causes Flembers.,18816,first,0
1417,26,Flembers causes Denoden.,Denoden causes Flembers.,Flembers,,Graduated High-school,42626,1705074061178,1705074018552,male,disease,English,Denoden,Flembers,Denoden has been found to be associated with the disease Flembers.,Flembers causes Denoden.,28373,second,0
1420,54,Themaglin causes Denoden.,Denoden causes Themaglin.,Themaglin,,Graduated High-school,72596,1705074056869,1705073984273,female,drug,1,Denoden,Themaglin,Denoden has been found to be associated with the drug Themaglin.,Themaglin causes Denoden.,41453,second,0
1425,36,Ceflar causes Denoden.,Denoden causes Ceflar.,Ceflar,,Graduated High-school,52658,1705074090789,1705074038131,female,disease,English ,Denoden,Ceflar,The disease Denoden has been found to be associated with Ceflar.,Ceflar causes Denoden.,31464,first,0
1428,53,Ceflar causes Themaglin.,Themaglin causes Ceflar.,Ceflar,There should be a neither option,Higher degree,34381,1705074097646,1705074063265,male,drug,English,Ceflar,Themaglin,Ceflar has been found to be associated with the drug Themaglin.,Themaglin causes Ceflar.,10939,second,0
1397,26,Agoriv causes Flembers.,Flembers causes Agoriv.,Agoriv,,Higher degree,57721,1705073947000,1705073889279,female,disease,English,Flembers,Agoriv,Flembers has been found to be associated with the disease Agoriv.,Flembers causes Agoriv.,37238,second,0
1403,35,Flembers causes Ceflar.,Ceflar causes Flembers.,Flembers,,Graduated High-school,43758,1705073972689,1705073928931,female,disease,English,Flembers,Ceflar,The disease Flembers has been found to be associated with Ceflar.,Ceflar causes Flembers.,22839,first,0
1416,33,Rebosen causes Ceflar.,Ceflar causes Rebosen.,Rebosen,,Graduated High-school,49968,1705074043879,1705073993911,male,disease,English ,Rebosen,Ceflar,Rebosen has been found to be associated with the disease Ceflar.,Ceflar causes Rebosen.,30844,second,0
1399,35,Ceflar causes Rebosen.,Rebosen causes Ceflar.,Ceflar,None,Higher degree,114786,1705073954442,1705073839656,female,disease,English,Rebosen,Ceflar,The disease Rebosen has been found to be associated with Ceflar.,Ceflar causes Rebosen.,26911,first,0
1407,66,Denoden causes Rebosen.,Rebosen causes Denoden.,Denoden,,Graduated High-school,88269,1705074005457,1705073917188,male,drug,English,Denoden,Rebosen,Denoden has been found to be associated with the drug Rebosen.,Rebosen causes Denoden.,49581,second,0
1437,29,Flembers causes Denoden.,Denoden causes Flembers.,Flembers,,Higher degree,41801,1705074118151,1705074076350,male,drug,"English, Welsh",Flembers,Denoden,The drug Flembers has been found to be associated with Denoden.,Flembers causes Denoden.,9439,first,0
1440,55,Agoriv causes Ceflar.,Ceflar causes Agoriv.,Agoriv,,Graduated College,32553,1705074123983,1705074091430,male,drug,,Agoriv,Ceflar,Agoriv has been found to be associated with the drug Ceflar.,Ceflar causes Agoriv.,17838,second,0
1404,46,Flembers causes Ceflar.,Ceflar causes Flembers.,Flembers,,Higher degree,56735,1705073976089,1705073919354,male,drug,English,Flembers,Ceflar,The drug Flembers has been found to be associated with Ceflar.,Flembers causes Ceflar.,33040,first,0
1426,32,Ceflar causes Rebosen.,Rebosen causes Ceflar.,Ceflar,,Higher degree,34485,1705074092557,1705074058072,male,drug,English,Ceflar,Rebosen,Ceflar has been found to be associated with the drug Rebosen.,Rebosen causes Ceflar.,21782,second,0
1439,43,Flembers causes Denoden.,Denoden causes Flembers.,Flembers,,Higher degree,27059,1705074124310,1705074097251,male,drug,English,Denoden,Flembers,Denoden has been found to be associated with the drug Flembers.,Flembers causes Denoden.,13101,second,0
1441,34,Flembers causes Themaglin.,Themaglin causes Flembers.,Flembers,,Graduated College,29888,1705074125165,1705074095277,female,disease,English ,Flembers,Themaglin,The disease Flembers has been found to be associated with Themaglin.,Themaglin causes Flembers.,14734,first,0
1408,40,Themaglin causes Agoriv.,Agoriv causes Themaglin.,Themaglin,,Graduated High-school,69681,1705074009987,1705073940306,male,disease,English,Themaglin,Agoriv,The disease Themaglin has been found to be associated with Agoriv.,Agoriv causes Themaglin.,49728,first,0
1414,82,Themaglin causes Agoriv.,Agoriv causes Themaglin.,Themaglin,,Graduated High-school,149586,1705074042742,1705073893156,male,disease,English,Themaglin,Agoriv,Themaglin has been found to be associated with the disease Agoriv.,Themaglin causes Agoriv.,96131,second,0
1430,61,Agoriv causes Denoden.,Denoden causes Agoriv.,Agoriv,,Did not graduate High-school,74331,1705074100751,1705074026420,female,disease,English,Denoden,Agoriv,The disease Denoden has been found to be associated with Agoriv.,Denoden causes Agoriv.,43207,first,0
1436,25,Ceflar causes Denoden.,Denoden causes Ceflar.,Ceflar,,Graduated College,44758,1705074114304,1705074069546,male,disease,English,Denoden,Ceflar,The disease Denoden has been found to be associated with Ceflar.,Ceflar causes Denoden.,21180,first,0
1444,62,Denoden causes Themaglin.,Themaglin causes Denoden.,Denoden,,Graduated High-school,66472,1705074136812,1705074070340,female,disease,English,Denoden,Themaglin,Denoden has been found to be associated with the disease Themaglin.,Themaglin causes Denoden.,32120,second,0
