submission_id,QUD,QUDTarget,age,choice1,choice2,choiceNameFirst,comments,education,experiment_duration,experiment_end_time,experiment_start_time,gender,languages,name1,name2,prolific_pid,prolific_session_id,prolific_study_id,response,responseTime,statement,statementFirst,treatment,trialNR
1853,I was surprised to see Rebosen in yesterday's sample.,first,29,Agoriv causes Rebosen.,Rebosen causes Agoriv.,Agoriv,,Graduated College,24604,1709909276546,1709909251942,male,English,Rebosen,Agoriv,605fa46fdafbf129160d1777,65eb24fe343a624ae4637e31,65eb1de69438b51c1c55a653,Agoriv causes Rebosen.,8335,Agoriv is associated with Rebosen.,second,observation,0
1859,I was surprised to see Flembers in yesterday's sample.,second,36,Flembers causes Agoriv.,Agoriv causes Flembers.,Flembers,,Higher degree,51495,1709909301629,1709909250134,female,,Agoriv,Flembers,5987753a644ea4000126f00a,65eb24f09a2b3ae0a65db523,65eb1de69438b51c1c55a653,Agoriv causes Flembers.,15902,Flembers is associated with Agoriv.,second,observation,0
1870,I was surprised to see Flembers in yesterday's sample.,second,19,Agoriv causes Flembers.,Flembers causes Agoriv.,Agoriv,,Graduated High-school,34361,1709909328060,1709909293699,female,English,Agoriv,Flembers,65030c046782881e902a5aaa,65eb2527393683b89f0b6665,65eb1de69438b51c1c55a653,Agoriv causes Flembers.,19384,Flembers is associated with Agoriv.,second,observation,0
1858,I am surprised that you think Rebosen should be removed from the samples.,first,34,Denoden causes Rebosen.,Rebosen causes Denoden.,Denoden,,Graduated College,42846,1709909297536,1709909254690,female,english,Rebosen,Denoden,63d3fbf6aca63e00ed85d00a,65eb25011e65702e0bcd8736,65eb1de69438b51c1c55a653,Rebosen causes Denoden.,28680,Denoden is associated with Rebosen.,second,avoidance,0
1861,I am surprised that you think Flembers should be removed from the samples.,first,60,Flembers causes Denoden.,Denoden causes Flembers.,Flembers,,Graduated College,121879,1709909305707,1709909183828,female,English,Flembers,Denoden,5eaeddb6a7e04f5af6b3e879,65eb24b275cd1ae288c97b01,65eb1de69438b51c1c55a653,Denoden causes Flembers.,82996,Denoden is associated with Flembers.,second,avoidance,0
1863,I am surprised that you think Denoden should be removed from the samples.,first,34,Flembers causes Denoden.,Denoden causes Flembers.,Flembers,,Graduated College,53529,1709909310660,1709909257131,female,English,Denoden,Flembers,57ceec6cfd01b20001d0251d,65eb250459debe6d7306e4fb,65eb1de69438b51c1c55a653,Denoden causes Flembers.,36313,Denoden is associated with Flembers.,first,avoidance,0
1864,I was surprised to see Agoriv in yesterday's sample.,first,30,Denoden causes Agoriv.,Agoriv causes Denoden.,Denoden,,Higher degree,48619,1709909315095,1709909266476,female,,Agoriv,Denoden,62aaffadcb6c41ad8f83639e,65eb250967998c58e15db4db,65eb1de69438b51c1c55a653,Denoden causes Agoriv.,37543,Denoden is associated with Agoriv.,second,observation,0
1865,I am surprised that you think Themaglin should be removed from the samples.,second,65,Themaglin causes Agoriv.,Agoriv causes Themaglin.,Themaglin,,Graduated High-school,66228,1709909320800,1709909254572,female,English,Agoriv,Themaglin,5ea313378e994c25658eae92,65eb24fccdfabf70006de2af,65eb1de69438b51c1c55a653,Themaglin causes Agoriv.,45426,Themaglin is associated with Agoriv.,second,avoidance,0
1759,I am surprised that you think Rebosen should be removed from the samples.,second,21,Ceflar causes Rebosen.,Rebosen causes Ceflar.,Ceflar,,Graduated College,29046,1709908343597,1709908314551,male,english,Ceflar,Rebosen,5d45e3bdf1d31800163cf999,65eb2155d9a4c26156dd2bd0,65eb1de69438b51c1c55a653,Rebosen causes Ceflar.,15472,Ceflar is associated with Rebosen.,first,avoidance,0
1762,I was surprised to see Ceflar in yesterday's sample.,first,32,Ceflar causes Denoden.,Denoden causes Ceflar.,Ceflar,,Graduated College,76732,1709908555351,1709908478619,male,English,Ceflar,Denoden,5ff108fb878eaa55718258c3,65eb21ed68a72de33a50912e,65eb1de69438b51c1c55a653,Denoden causes Ceflar.,46568,Denoden is associated with Ceflar.,second,observation,0
1763,I was surprised to see Ceflar in yesterday's sample.,first,50,Rebosen causes Ceflar.,Ceflar causes Rebosen.,Rebosen,,Graduated High-school,71674,1709908599544,1709908527870,female,English,Ceflar,Rebosen,6451843b5bbc08cb94e34ba3,65eb221aa1d8d921864afec2,65eb1de69438b51c1c55a653,Rebosen causes Ceflar.,33512,Rebosen is associated with Ceflar.,second,observation,0
1792,I am surprised that you think Themaglin should be removed from the samples.,first,49,Themaglin causes Flembers.,Flembers causes Themaglin.,Themaglin,,,46176,1709908915316,1709908869140,female,English,Themaglin,Flembers,63ee1884534ecc3f58e7bb8a,65eb2385e1893c264829b2ff,65eb1de69438b51c1c55a653,Themaglin causes Flembers.,25703,Themaglin is associated with Flembers.,first,avoidance,0
1804,I was surprised to see Flembers in yesterday's sample.,first,52,Denoden causes Flembers.,Flembers causes Denoden.,Denoden,,Graduated College,59938,1709908989945,1709908930007,male,English,Flembers,Denoden,654651ca7a889724c907f144,65eb23bbf5329f415161790d,65eb1de69438b51c1c55a653,Denoden causes Flembers.,30004,Denoden is associated with Flembers.,second,observation,0
1816,I am surprised that you think Rebosen should be removed from the samples.,second,29,Rebosen causes Flembers.,Flembers causes Rebosen.,Rebosen,,Graduated College,32356,1709909087889,1709909055533,female,English,Flembers,Rebosen,62e15ab08c4aa96b86650a06,65eb243a26c10df9e0cb2fe8,65eb1de69438b51c1c55a653,Rebosen causes Flembers.,16890,Rebosen is associated with Flembers.,second,avoidance,0
1760,I am surprised that you think Agoriv should be removed from the samples.,first,37,Denoden causes Agoriv.,Agoriv causes Denoden.,Denoden,none,Graduated College,43294,1709908398086,1709908354792,female,English,Agoriv,Denoden,6401b9015be1ce78bd94eb70,65eb217af17782988c99c97d,65eb1de69438b51c1c55a653,Denoden causes Agoriv.,22018,Denoden is associated with Agoriv.,second,avoidance,0
1769,I was surprised to see Flembers in yesterday's sample.,first,34,Flembers causes Ceflar.,Ceflar causes Flembers.,Flembers,,Higher degree,77912,1709908754344,1709908676432,male,English,Flembers,Ceflar,62a7989f3574ce6e0f17defe,65eb22bcff57a50080640e48,65eb1de69438b51c1c55a653,Flembers causes Ceflar.,54089,Ceflar is associated with Flembers.,second,observation,0
1771,I was surprised to see Denoden in yesterday's sample.,second,39,Rebosen causes Denoden.,Denoden causes Rebosen.,Rebosen,,Higher degree,73863,1709908756659,1709908682796,female,English,Rebosen,Denoden,611c162ea44ae208af89387f,65eb22c1b2d95c227bfe7e02,65eb1de69438b51c1c55a653,Rebosen causes Denoden.,45847,Rebosen is associated with Denoden.,first,observation,0
1774,I was surprised to see Themaglin in yesterday's sample.,first,80,Themaglin causes Flembers.,Flembers causes Themaglin.,Themaglin,,Did not graduate High-school,129812,1709908802021,1709908672209,female,english,Themaglin,Flembers,5d57d1dc914e310019cdfb9b,65eb22a34ca8ec310d4804cc,65eb1de69438b51c1c55a653,Flembers causes Themaglin.,67147,Themaglin is associated with Flembers.,first,observation,0
1798,I am surprised that you think Themaglin should be removed from the samples.,first,29,Ceflar causes Themaglin.,Themaglin causes Ceflar.,Ceflar,,Higher degree,28918,1709908961577,1709908932659,male,English,Themaglin,Ceflar,57f9238bc786ac00011ebc72,65eb23c3ad8823bedeb03733,65eb1de69438b51c1c55a653,Themaglin causes Ceflar.,14496,Themaglin is associated with Ceflar.,first,avoidance,0
1806,I am surprised that you think Flembers should be removed from the samples.,first,27,Flembers causes Themaglin.,Themaglin causes Flembers.,Flembers,,Higher degree,43604,1709908995601,1709908951997,male,English,Flembers,Themaglin,63f7cd81a09d25f6c1a73f43,65eb23d632c887872a07d34f,65eb1de69438b51c1c55a653,Flembers causes Themaglin.,24325,Themaglin is associated with Flembers.,second,avoidance,0
1761,I am surprised that you think Rebosen should be removed from the samples.,second,38,Rebosen causes Denoden.,Denoden causes Rebosen.,Rebosen,,Graduated High-school,103481,1709908501984,1709908398503,female,English ,Denoden,Rebosen,5cd86c0731d19f0001425a89,65eb21a746a37ea15396e718,65eb1de69438b51c1c55a653,Denoden causes Rebosen.,85675,Denoden is associated with Rebosen.,first,avoidance,0
1773,I was surprised to see Rebosen in yesterday's sample.,second,71,Rebosen causes Denoden.,Denoden causes Rebosen.,Rebosen,,Higher degree,68312,1709908795399,1709908727087,male,English,Denoden,Rebosen,5f75a669c9ebb3229be4a8db,65eb22ea96d3701edc35a9a1,65eb1de69438b51c1c55a653,Denoden causes Rebosen.,45788,Rebosen is associated with Denoden.,second,observation,0
1764,I am surprised that you think Rebosen should be removed from the samples.,first,23,Flembers causes Rebosen.,Rebosen causes Flembers.,Flembers,,Graduated High-school,61008,1709908633050,1709908572042,male,English,Rebosen,Flembers,5bf28a086d4c3e00014410f7,65eb224e5233217749e355de,65eb1de69438b51c1c55a653,Rebosen causes Flembers.,39541,Flembers is associated with Rebosen.,second,avoidance,0
1768,I am surprised that you think Flembers should be removed from the samples.,second,31,Flembers causes Ceflar.,Ceflar causes Flembers.,Flembers,,Graduated High-school,40494,1709908744286,1709908703792,male,English ,Ceflar,Flembers,60b38fdb547653a5887fd0f6,65eb22d2e4d48488bc2d0ad0,65eb1de69438b51c1c55a653,Flembers causes Ceflar.,23253,Flembers is associated with Ceflar.,second,avoidance,0
1765,I am surprised that you think Denoden should be removed from the samples.,first,50,Agoriv causes Denoden.,Denoden causes Agoriv.,Agoriv,,Higher degree,59913,1709908671098,1709908611185,female,English,Denoden,Agoriv,606ec7f98cb8b08a1c7620e0,65eb22602b4eb9cb0c20649f,65eb1de69438b51c1c55a653,Denoden causes Agoriv.,39892,Agoriv is associated with Denoden.,second,avoidance,0
1772,I was surprised to see Ceflar in yesterday's sample.,second,44,Ceflar causes Themaglin.,Themaglin causes Ceflar.,Ceflar,,Graduated College,71791,1709908787175,1709908715384,female,English,Themaglin,Ceflar,5d8669bd2efdc9001685c7ab,65eb22e3c6ce80fa96ba269d,65eb1de69438b51c1c55a653,Themaglin causes Ceflar.,48045,Themaglin is associated with Ceflar.,first,observation,0
1791,I am surprised that you think Themaglin should be removed from the samples.,first,25,Themaglin causes Denoden.,Denoden causes Themaglin.,Themaglin,,Graduated College,33671,1709908904302,1709908870631,female,"English, Japanese",Themaglin,Denoden,5ad3fc75b02aca00012739b4,65eb238114a4b1409ac97abb,65eb1de69438b51c1c55a653,Themaglin causes Denoden.,17464,Themaglin is associated with Denoden.,first,avoidance,0
1807,I was surprised to see Rebosen in yesterday's sample.,second,55,Rebosen causes Themaglin.,Themaglin causes Rebosen.,Rebosen,,Graduated College,59352,1709908999609,1709908940257,female,English,Themaglin,Rebosen,5eef5d8b98ebb54255812916,65eb23b92101655db282a4a6,65eb1de69438b51c1c55a653,Rebosen causes Themaglin.,33401,Themaglin is associated with Rebosen.,first,observation,0
1825,I was surprised to see Themaglin in yesterday's sample.,first,34,Themaglin causes Rebosen.,Rebosen causes Themaglin.,Themaglin,,Higher degree,56003,1709909133547,1709909077544,male,Englosh,Themaglin,Rebosen,58d15e3d2fc72000011f8dbc,65eb244ef4f6f323d482a4e0,65eb1de69438b51c1c55a653,Rebosen causes Themaglin.,38220,Rebosen is associated with Themaglin.,second,observation,0
1826,I am surprised that you think Flembers should be removed from the samples.,second,40,Denoden causes Flembers.,Flembers causes Denoden.,Denoden,,Graduated High-school,27588,1709909138528,1709909110940,female,english,Denoden,Flembers,59484cc8236bda0001d2696c,65eb247155264c2c144a106e,65eb1de69438b51c1c55a653,Flembers causes Denoden.,9533,Denoden is associated with Flembers.,first,avoidance,0
1766,I was surprised to see Themaglin in yesterday's sample.,first,32,Rebosen causes Themaglin.,Themaglin causes Rebosen.,Rebosen,,Higher degree,68513,1709908654973,1709908586460,male,"english, urdu",Themaglin,Rebosen,605b1abc47f5351342d9d6e6,65eb22612851870b4ed632b9,65eb1de69438b51c1c55a653,Themaglin causes Rebosen.,23995,Rebosen is associated with Themaglin.,second,observation,0
1770,I was surprised to see Agoriv in yesterday's sample.,second,18,Agoriv causes Rebosen.,Rebosen causes Agoriv.,Agoriv,,Graduated High-school,33143,1709908756400,1709908723257,female,English,Rebosen,Agoriv,657755393fc57cab7974ec7a,65eb22e81f55edd3d7eb4543,65eb1de69438b51c1c55a653,Rebosen causes Agoriv.,17864,Agoriv is associated with Rebosen.,second,observation,0
1778,I am surprised that you think Ceflar should be removed from the samples.,second,32,Ceflar causes Rebosen.,Rebosen causes Ceflar.,Ceflar,,Graduated College,79338,1709908820283,1709908740945,female,English,Rebosen,Ceflar,6146eadbe88132805e5e3139,65eb22fa6a03f0b177f831b7,65eb1de69438b51c1c55a653,Ceflar causes Rebosen.,34563,Rebosen is associated with Ceflar.,first,avoidance,0
1767,I am surprised that you think Rebosen should be removed from the samples.,second,24,Rebosen causes Flembers.,Flembers causes Rebosen.,Rebosen,,Did not graduate High-school,52556,1709908714250,1709908661694,male,English ,Flembers,Rebosen,5ee93e0226f9f0167b877dbe,65eb22af12c9f9ac9f164acf,65eb1de69438b51c1c55a653,Rebosen causes Flembers.,33514,Rebosen is associated with Flembers.,second,avoidance,0
1780,I was surprised to see Ceflar in yesterday's sample.,second,65,Flembers causes Ceflar.,Ceflar causes Flembers.,Flembers,,Graduated High-school,109837,1709908833609,1709908723772,female,English,Flembers,Ceflar,6078af12106ee122215504da,65eb22e9d7f2e3c9aa7d69ca,65eb1de69438b51c1c55a653,Ceflar causes Flembers.,75028,Ceflar is associated with Flembers.,second,observation,0
1781,I am surprised that you think Denoden should be removed from the samples.,first,65,Denoden causes Flembers.,Flembers causes Denoden.,Denoden,,Higher degree,39636,1709908844768,1709908805132,female,English ,Denoden,Flembers,5c6548840d80fd0001425567,65eb233aa7ccec4364ab64d8,65eb1de69438b51c1c55a653,Denoden causes Flembers.,22363,Flembers is associated with Denoden.,second,avoidance,0
1775,I am surprised that you think Ceflar should be removed from the samples.,second,30,Ceflar causes Themaglin.,Themaglin causes Ceflar.,Ceflar,,Graduated College,42672,1709908810122,1709908767450,female,English,Themaglin,Ceflar,5c64981ca98f0700010f8c81,65eb2319f22437f84ecd8685,65eb1de69438b51c1c55a653,Ceflar causes Themaglin.,27935,Themaglin is associated with Ceflar.,first,avoidance,0
1776,I am surprised that you think Rebosen should be removed from the samples.,second,69,Ceflar causes Rebosen.,Rebosen causes Ceflar.,Ceflar,,Higher degree,100953,1709908816686,1709908715733,female,English ,Ceflar,Rebosen,63bec89e4ab1098cfe7106f5,65eb22dffd5bb7a935f32b2d,65eb1de69438b51c1c55a653,Ceflar causes Rebosen.,55672,Ceflar is associated with Rebosen.,first,avoidance,0
1785,I am surprised that you think Flembers should be removed from the samples.,second,39,Themaglin causes Flembers.,Flembers causes Themaglin.,Themaglin,,Higher degree,41568,1709908888993,1709908847425,female,English,Themaglin,Flembers,5d555d997c447d001df372b1,65eb236885bb2717d03b6ea4,65eb1de69438b51c1c55a653,Flembers causes Themaglin.,24057,Flembers is associated with Themaglin.,second,avoidance,0
1787,I am surprised that you think Agoriv should be removed from the samples.,first,20,Agoriv causes Rebosen.,Rebosen causes Agoriv.,Agoriv,,Graduated High-school,51145,1709908895668,1709908844523,male,English,Agoriv,Rebosen,5d277538379e51000149184d,65eb2365699631acfceb455d,65eb1de69438b51c1c55a653,Rebosen causes Agoriv.,27564,Agoriv is associated with Rebosen.,first,avoidance,0
1801,I am surprised that you think Themaglin should be removed from the samples.,first,49,Denoden causes Themaglin.,Themaglin causes Denoden.,Denoden,,Graduated High-school,35901,1709908981066,1709908945166,female,English,Themaglin,Denoden,5ffdd6ac44be033c5ca23956,65eb23cd11a25e4a979510fa,65eb1de69438b51c1c55a653,Themaglin causes Denoden.,21152,Denoden is associated with Themaglin.,second,avoidance,0
1777,I am surprised that you think Flembers should be removed from the samples.,first,75,Ceflar causes Flembers.,Flembers causes Ceflar.,Ceflar,,Graduated High-school,56164,1709908819276,1709908763112,female,English,Flembers,Ceflar,563f8474cbd4c6000fdc928b,65eb231255264c2c144a0ff1,65eb1de69438b51c1c55a653,Flembers causes Ceflar.,32119,Flembers is associated with Ceflar.,first,avoidance,0
1779,I was surprised to see Rebosen in yesterday's sample.,second,24,Rebosen causes Denoden.,Denoden causes Rebosen.,Rebosen,,Higher degree,30777,1709908831790,1709908801013,female,,Denoden,Rebosen,5beb23c7524a340001927005,65eb231a1f55edd3d7eb455f,65eb1de69438b51c1c55a653,Denoden causes Rebosen.,16123,Denoden is associated with Rebosen.,first,observation,0
1786,I am surprised that you think Rebosen should be removed from the samples.,second,65,Rebosen causes Flembers.,Flembers causes Rebosen.,Rebosen,This was a difficult question to answer. ,Graduated High-school,118198,1709908891465,1709908773267,female,english,Flembers,Rebosen,629075a83e17794e104bb46b,65eb231eb11dbc2195ba26b8,65eb1de69438b51c1c55a653,Flembers causes Rebosen.,66930,Rebosen is associated with Flembers.,second,avoidance,0
1782,I was surprised to see Themaglin in yesterday's sample.,second,32,Ceflar causes Themaglin.,Themaglin causes Ceflar.,Ceflar,Chocolate chips ,Graduated High-school,42103,1709908850554,1709908808451,male,English ,Ceflar,Themaglin,62e2def3b257d431d67fabcb,65eb234027f782646fc946b0,65eb1de69438b51c1c55a653,Ceflar causes Themaglin.,21305,Ceflar is associated with Themaglin.,first,observation,0
1789,I am surprised that you think Denoden should be removed from the samples.,second,44,Denoden causes Flembers.,Flembers causes Denoden.,Denoden,,Graduated High-school,124312,1709908899502,1709908775190,male,English,Flembers,Denoden,60e45f7e2581a9d2811431c0,65eb231fe7c944fc8c16a606,65eb1de69438b51c1c55a653,Flembers causes Denoden.,97103,Flembers is associated with Denoden.,first,avoidance,0
1810,I was surprised to see Themaglin in yesterday's sample.,second,26,Denoden causes Themaglin.,Themaglin causes Denoden.,Denoden,,Graduated High-school,69872,1709909019084,1709908949212,male,English ,Denoden,Themaglin,5b5f7b7869565a0001293821,65eb23cef557996ec09f2f70,65eb1de69438b51c1c55a653,Denoden causes Themaglin.,22743,Themaglin is associated with Denoden.,second,observation,0
1814,I was surprised to see Agoriv in yesterday's sample.,first,35,Agoriv causes Themaglin.,Themaglin causes Agoriv.,Agoriv,,Graduated High-school,91354,1709909065225,1709908973871,male,British-English,Agoriv,Themaglin,5615f3a47ffc8a000f812714,65eb23ec7132c44e17689bda,65eb1de69438b51c1c55a653,Agoriv causes Themaglin.,64063,Themaglin is associated with Agoriv.,second,observation,0
1783,I am surprised that you think Ceflar should be removed from the samples.,first,33,Themaglin causes Ceflar.,Ceflar causes Themaglin.,Themaglin,,Higher degree,34309,1709908851957,1709908817648,female,english,Ceflar,Themaglin,5f2a993589aa602d40352125,65eb234be89908f27d3d0064,65eb1de69438b51c1c55a653,Ceflar causes Themaglin.,18338,Ceflar is associated with Themaglin.,first,avoidance,0
1784,I am surprised that you think Rebosen should be removed from the samples.,second,62,Rebosen causes Agoriv.,Agoriv causes Rebosen.,Rebosen,,Graduated College,148750,1709908871100,1709908722350,female,English,Agoriv,Rebosen,5ee121f66cb68d11452219dc,65eb22e74e91e8adcf0ca67a,65eb1de69438b51c1c55a653,Rebosen causes Agoriv.,39564,Rebosen is associated with Agoriv.,second,avoidance,0
2107,I was surprised to see Denoden in yesterday's sample.,first,52,Denoden causes Rebosen.,Rebosen causes Denoden.,Denoden,,Higher degree,74808,1709909988871,1709909914063,female,,Denoden,Rebosen,596c8dce12209100018745de,65eb278aa21d0d581ffe1002,65eb1de69438b51c1c55a653,Denoden causes Rebosen.,49664,Denoden is associated with Rebosen.,first,observation,0
1788,I am surprised that you think Agoriv should be removed from the samples.,second,29,Themaglin causes Agoriv.,Agoriv causes Themaglin.,Themaglin,,Higher degree,322086,1709908898224,1709908576138,female,"english, punjabi and hindi",Themaglin,Agoriv,61324016329f5378ddc7b55a,65eb2250dc1d8746c585e553,65eb1de69438b51c1c55a653,Agoriv causes Themaglin.,232473,Agoriv is associated with Themaglin.,second,avoidance,0
1800,I was surprised to see Rebosen in yesterday's sample.,first,31,Rebosen causes Denoden.,Denoden causes Rebosen.,Rebosen,,Graduated High-school,64772,1709908975933,1709908911161,male,English,Rebosen,Denoden,63d3cf033d5ebd35bffe8515,65eb23a4a398e76ffe7f5bb7,65eb1de69438b51c1c55a653,Denoden causes Rebosen.,38942,Rebosen is associated with Denoden.,first,observation,0
1790,I am surprised that you think Denoden should be removed from the samples.,first,37,Agoriv causes Denoden.,Denoden causes Agoriv.,Agoriv,,Higher degree,84575,1709908919146,1709908834571,female,english,Denoden,Agoriv,60f2001aca3716810f4f4415,65eb2331454c42b2005a10b3,65eb1de69438b51c1c55a653,Agoriv causes Denoden.,58075,Agoriv is associated with Denoden.,second,avoidance,0
1793,I am surprised that you think Themaglin should be removed from the samples.,first,28,Themaglin causes Denoden.,Denoden causes Themaglin.,Themaglin,,Higher degree,51893,1709908945068,1709908893175,male,English,Themaglin,Denoden,62a1ef4b118ae7c6c666e130,65eb239517694b4fcc2965a7,65eb1de69438b51c1c55a653,Denoden causes Themaglin.,36239,Themaglin is associated with Denoden.,first,avoidance,0
1799,I am surprised that you think Flembers should be removed from the samples.,first,24,Denoden causes Flembers.,Flembers causes Denoden.,Denoden,,Graduated College,71235,1709908968890,1709908897655,male,,Flembers,Denoden,5f19a735255c76000b023d92,65eb238e9a2b3ae0a65db4a2,65eb1de69438b51c1c55a653,Denoden causes Flembers.,44413,Flembers is associated with Denoden.,first,avoidance,0
1808,I was surprised to see Themaglin in yesterday's sample.,first,34,Denoden causes Themaglin.,Themaglin causes Denoden.,Denoden,,Graduated College,68508,1709909000992,1709908932484,female,English,Themaglin,Denoden,5a6d92b8e70ca900017adced,65eb23be26c10df9e0cb2fc5,65eb1de69438b51c1c55a653,Themaglin causes Denoden.,38393,Denoden is associated with Themaglin.,second,observation,0
1809,I am surprised that you think Themaglin should be removed from the samples.,first,69,Rebosen causes Themaglin.,Themaglin causes Rebosen.,Rebosen,was fine,Graduated College,58196,1709909013425,1709908955229,male,English,Themaglin,Rebosen,5c7ed92f9c3fc00016f4e7dd,65eb23d4e4d48488bc2d0b13,65eb1de69438b51c1c55a653,Themaglin causes Rebosen.,27960,Rebosen is associated with Themaglin.,second,avoidance,0
1815,I was surprised to see Themaglin in yesterday's sample.,second,32,Ceflar causes Themaglin.,Themaglin causes Ceflar.,Ceflar,,Graduated High-school,63087,1709909067754,1709909004667,male,english,Ceflar,Themaglin,63d79bf2271aa409e093e403,65eb2409343a624ae4637dd2,65eb1de69438b51c1c55a653,Themaglin causes Ceflar.,46979,Ceflar is associated with Themaglin.,first,observation,0
1794,I was surprised to see Themaglin in yesterday's sample.,second,42,Themaglin causes Denoden.,Denoden causes Themaglin.,Themaglin,,Higher degree,143988,1709908946724,1709908802736,male,English ,Denoden,Themaglin,63d79ffc558f5cabde41b40f,65eb23324e769e89462d0b02,65eb1de69438b51c1c55a653,Denoden causes Themaglin.,120317,Denoden is associated with Themaglin.,first,observation,0
1795,I am surprised that you think Denoden should be removed from the samples.,second,38,Flembers causes Denoden.,Denoden causes Flembers.,Flembers,,Higher degree,38105,1709908955166,1709908917061,male,English,Flembers,Denoden,5d822f75d09b690017857bd4,65eb23af7b102edfe495acbd,65eb1de69438b51c1c55a653,Denoden causes Flembers.,17516,Denoden is associated with Flembers.,second,avoidance,0
1796,I am surprised that you think Rebosen should be removed from the samples.,second,70,Rebosen causes Flembers.,Flembers causes Rebosen.,Rebosen,,Graduated College,61922,1709908959586,1709908897664,female,English,Flembers,Rebosen,5c61288cd697e7000107b9b4,65eb2397f557996ec09f2f61,65eb1de69438b51c1c55a653,Rebosen causes Flembers.,29555,Flembers is associated with Rebosen.,first,avoidance,0
