targeted,itemType,name1,name2,prompt,choiceNameFirst,choice1,choice2
first,disease,Rebosen,Ceflar,The disease Rebosen has been found to be associated with Ceflar.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
first,drug,Rebosen,Ceflar,The drug Rebosen has been found to be associated with Ceflar.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
first,disease,Rebosen,Ceflar,The disease Rebosen has been found to be associated with Ceflar.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
second,drug,Rebosen,Ceflar,Rebosen has been found to be associated with the drug Ceflar.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
second,disease,Rebosen,Ceflar,Rebosen has been found to be associated with the disease Ceflar.,Rebosen,Rebosen causes Ceflar.,Ceflar causes Rebosen.
second,drug,Rebosen,Ceflar,Rebosen has been found to be associated with the drug Ceflar.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
second,disease,Rebosen,Ceflar,Rebosen has been found to be associated with the disease Ceflar.,Ceflar,Ceflar causes Rebosen.,Rebosen causes Ceflar.
first,drug,Denoden,Themaglin,The drug Denoden has been found to be associated with Themaglin.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
first,disease,Denoden,Themaglin,The disease Denoden has been found to be associated with Themaglin.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
first,drug,Denoden,Themaglin,The drug Denoden has been found to be associated with Themaglin.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
first,disease,Denoden,Themaglin,The disease Denoden has been found to be associated with Themaglin.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
second,drug,Denoden,Themaglin,Denoden has been found to be associated with the drug Themaglin.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
second,disease,Denoden,Themaglin,Denoden has been found to be associated with the disease Themaglin.,Denoden,Denoden causes Themaglin.,Themaglin causes Denoden.
second,drug,Denoden,Themaglin,Denoden has been found to be associated with the drug Themaglin.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
second,disease,Denoden,Themaglin,Denoden has been found to be associated with the disease Themaglin.,Themaglin,Themaglin causes Denoden.,Denoden causes Themaglin.
first,drug,Denoden,Rebosen,The drug Denoden has been found to be associated with Rebosen.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
first,disease,Denoden,Rebosen,The disease Denoden has been found to be associated with Rebosen.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
first,drug,Denoden,Rebosen,The drug Denoden has been found to be associated with Rebosen.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
first,disease,Denoden,Rebosen,The disease Denoden has been found to be associated with Rebosen.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
second,drug,Denoden,Rebosen,Denoden has been found to be associated with the drug Rebosen.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
second,disease,Denoden,Rebosen,Denoden has been found to be associated with the disease Rebosen.,Denoden,Denoden causes Rebosen.,Rebosen causes Denoden.
second,drug,Denoden,Rebosen,Denoden has been found to be associated with the drug Rebosen.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
second,disease,Denoden,Rebosen,Denoden has been found to be associated with the disease Rebosen.,Rebosen,Rebosen causes Denoden.,Denoden causes Rebosen.
first,drug,Denoden,Flembers,The drug Denoden has been found to be associated with Flembers.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
first,disease,Denoden,Flembers,The disease Denoden has been found to be associated with Flembers.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
first,drug,Denoden,Flembers,The drug Denoden has been found to be associated with Flembers.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
first,disease,Denoden,Flembers,The disease Denoden has been found to be associated with Flembers.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
second,drug,Denoden,Flembers,Denoden has been found to be associated with the drug Flembers.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
second,disease,Denoden,Flembers,Denoden has been found to be associated with the disease Flembers.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
second,drug,Denoden,Flembers,Denoden has been found to be associated with the drug Flembers.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
second,disease,Denoden,Flembers,Denoden has been found to be associated with the disease Flembers.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
first,drug,Denoden,Agoriv,The drug Denoden has been found to be associated with Agoriv.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
first,disease,Denoden,Agoriv,The disease Denoden has been found to be associated with Agoriv.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
first,drug,Denoden,Agoriv,The drug Denoden has been found to be associated with Agoriv.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
first,disease,Denoden,Agoriv,The disease Denoden has been found to be associated with Agoriv.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
second,drug,Denoden,Agoriv,Denoden has been found to be associated with the drug Agoriv.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
second,disease,Denoden,Agoriv,Denoden has been found to be associated with the disease Agoriv.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
second,drug,Denoden,Agoriv,Denoden has been found to be associated with the drug Agoriv.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
second,disease,Denoden,Agoriv,Denoden has been found to be associated with the disease Agoriv.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
first,drug,Denoden,Ceflar,The drug Denoden has been found to be associated with Ceflar.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
first,disease,Denoden,Ceflar,The disease Denoden has been found to be associated with Ceflar.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
first,drug,Denoden,Ceflar,The drug Denoden has been found to be associated with Ceflar.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
first,disease,Denoden,Ceflar,The disease Denoden has been found to be associated with Ceflar.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
second,drug,Denoden,Ceflar,Denoden has been found to be associated with the drug Ceflar.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
second,disease,Denoden,Ceflar,Denoden has been found to be associated with the disease Ceflar.,Denoden,Denoden causes Ceflar.,Ceflar causes Denoden.
second,drug,Denoden,Ceflar,Denoden has been found to be associated with the drug Ceflar.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
second,disease,Denoden,Ceflar,Denoden has been found to be associated with the disease Ceflar.,Ceflar,Ceflar causes Denoden.,Denoden causes Ceflar.
first,drug,Flembers,Themaglin,The drug Flembers has been found to be associated with Themaglin.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
first,disease,Flembers,Themaglin,The disease Flembers has been found to be associated with Themaglin.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
first,drug,Flembers,Themaglin,The drug Flembers has been found to be associated with Themaglin.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
first,disease,Flembers,Themaglin,The disease Flembers has been found to be associated with Themaglin.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
second,drug,Flembers,Themaglin,Flembers has been found to be associated with the drug Themaglin.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
second,disease,Flembers,Themaglin,Flembers has been found to be associated with the disease Themaglin.,Flembers,Flembers causes Themaglin.,Themaglin causes Flembers.
second,drug,Flembers,Themaglin,Flembers has been found to be associated with the drug Themaglin.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
second,disease,Flembers,Themaglin,Flembers has been found to be associated with the disease Themaglin.,Themaglin,Themaglin causes Flembers.,Flembers causes Themaglin.
first,drug,Flembers,Rebosen,The drug Flembers has been found to be associated with Rebosen.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
first,disease,Flembers,Rebosen,The disease Flembers has been found to be associated with Rebosen.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
first,drug,Flembers,Rebosen,The drug Flembers has been found to be associated with Rebosen.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
first,disease,Flembers,Rebosen,The disease Flembers has been found to be associated with Rebosen.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
second,drug,Flembers,Rebosen,Flembers has been found to be associated with the drug Rebosen.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
second,disease,Flembers,Rebosen,Flembers has been found to be associated with the disease Rebosen.,Flembers,Flembers causes Rebosen.,Rebosen causes Flembers.
second,drug,Flembers,Rebosen,Flembers has been found to be associated with the drug Rebosen.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
second,disease,Flembers,Rebosen,Flembers has been found to be associated with the disease Rebosen.,Rebosen,Rebosen causes Flembers.,Flembers causes Rebosen.
first,drug,Flembers,Denoden,The drug Flembers has been found to be associated with Denoden.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
first,disease,Flembers,Denoden,The disease Flembers has been found to be associated with Denoden.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
first,drug,Flembers,Denoden,The drug Flembers has been found to be associated with Denoden.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
first,disease,Flembers,Denoden,The disease Flembers has been found to be associated with Denoden.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
second,drug,Flembers,Denoden,Flembers has been found to be associated with the drug Denoden.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
second,disease,Flembers,Denoden,Flembers has been found to be associated with the disease Denoden.,Flembers,Flembers causes Denoden.,Denoden causes Flembers.
second,drug,Flembers,Denoden,Flembers has been found to be associated with the drug Denoden.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
second,disease,Flembers,Denoden,Flembers has been found to be associated with the disease Denoden.,Denoden,Denoden causes Flembers.,Flembers causes Denoden.
first,drug,Flembers,Agoriv,The drug Flembers has been found to be associated with Agoriv.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
first,disease,Flembers,Agoriv,The disease Flembers has been found to be associated with Agoriv.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
first,drug,Flembers,Agoriv,The drug Flembers has been found to be associated with Agoriv.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
first,disease,Flembers,Agoriv,The disease Flembers has been found to be associated with Agoriv.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
second,drug,Flembers,Agoriv,Flembers has been found to be associated with the drug Agoriv.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
second,disease,Flembers,Agoriv,Flembers has been found to be associated with the disease Agoriv.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
second,drug,Flembers,Agoriv,Flembers has been found to be associated with the drug Agoriv.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
second,disease,Flembers,Agoriv,Flembers has been found to be associated with the disease Agoriv.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
first,drug,Flembers,Ceflar,The drug Flembers has been found to be associated with Ceflar.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
first,disease,Flembers,Ceflar,The disease Flembers has been found to be associated with Ceflar.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
first,drug,Flembers,Ceflar,The drug Flembers has been found to be associated with Ceflar.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
first,disease,Flembers,Ceflar,The disease Flembers has been found to be associated with Ceflar.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
second,drug,Flembers,Ceflar,Flembers has been found to be associated with the drug Ceflar.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
second,disease,Flembers,Ceflar,Flembers has been found to be associated with the disease Ceflar.,Flembers,Flembers causes Ceflar.,Ceflar causes Flembers.
second,drug,Flembers,Ceflar,Flembers has been found to be associated with the drug Ceflar.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
second,disease,Flembers,Ceflar,Flembers has been found to be associated with the disease Ceflar.,Ceflar,Ceflar causes Flembers.,Flembers causes Ceflar.
first,drug,Agoriv,Themaglin,The drug Agoriv has been found to be associated with Themaglin.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
first,disease,Agoriv,Themaglin,The disease Agoriv has been found to be associated with Themaglin.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
first,drug,Agoriv,Themaglin,The drug Agoriv has been found to be associated with Themaglin.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
first,disease,Agoriv,Themaglin,The disease Agoriv has been found to be associated with Themaglin.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
second,drug,Agoriv,Themaglin,Agoriv has been found to be associated with the drug Themaglin.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
second,disease,Agoriv,Themaglin,Agoriv has been found to be associated with the disease Themaglin.,Agoriv,Agoriv causes Themaglin.,Themaglin causes Agoriv.
second,drug,Agoriv,Themaglin,Agoriv has been found to be associated with the drug Themaglin.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
second,disease,Agoriv,Themaglin,Agoriv has been found to be associated with the disease Themaglin.,Themaglin,Themaglin causes Agoriv.,Agoriv causes Themaglin.
first,drug,Agoriv,Rebosen,The drug Agoriv has been found to be associated with Rebosen.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
first,disease,Agoriv,Rebosen,The disease Agoriv has been found to be associated with Rebosen.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
first,drug,Agoriv,Rebosen,The drug Agoriv has been found to be associated with Rebosen.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
first,disease,Agoriv,Rebosen,The disease Agoriv has been found to be associated with Rebosen.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
second,drug,Agoriv,Rebosen,Agoriv has been found to be associated with the drug Rebosen.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
second,disease,Agoriv,Rebosen,Agoriv has been found to be associated with the disease Rebosen.,Agoriv,Agoriv causes Rebosen.,Rebosen causes Agoriv.
second,drug,Agoriv,Rebosen,Agoriv has been found to be associated with the drug Rebosen.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
second,disease,Agoriv,Rebosen,Agoriv has been found to be associated with the disease Rebosen.,Rebosen,Rebosen causes Agoriv.,Agoriv causes Rebosen.
first,drug,Agoriv,Denoden,The drug Agoriv has been found to be associated with Denoden.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
first,disease,Agoriv,Denoden,The disease Agoriv has been found to be associated with Denoden.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
first,drug,Agoriv,Denoden,The drug Agoriv has been found to be associated with Denoden.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
first,disease,Agoriv,Denoden,The disease Agoriv has been found to be associated with Denoden.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
second,drug,Agoriv,Denoden,Agoriv has been found to be associated with the drug Denoden.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
second,disease,Agoriv,Denoden,Agoriv has been found to be associated with the disease Denoden.,Agoriv,Agoriv causes Denoden.,Denoden causes Agoriv.
second,drug,Agoriv,Denoden,Agoriv has been found to be associated with the drug Denoden.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
second,disease,Agoriv,Denoden,Agoriv has been found to be associated with the disease Denoden.,Denoden,Denoden causes Agoriv.,Agoriv causes Denoden.
first,drug,Agoriv,Flembers,The drug Agoriv has been found to be associated with Flembers.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
first,disease,Agoriv,Flembers,The disease Agoriv has been found to be associated with Flembers.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
first,drug,Agoriv,Flembers,The drug Agoriv has been found to be associated with Flembers.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
first,disease,Agoriv,Flembers,The disease Agoriv has been found to be associated with Flembers.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
second,drug,Agoriv,Flembers,Agoriv has been found to be associated with the drug Flembers.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
second,disease,Agoriv,Flembers,Agoriv has been found to be associated with the disease Flembers.,Agoriv,Agoriv causes Flembers.,Flembers causes Agoriv.
second,drug,Agoriv,Flembers,Agoriv has been found to be associated with the drug Flembers.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
second,disease,Agoriv,Flembers,Agoriv has been found to be associated with the disease Flembers.,Flembers,Flembers causes Agoriv.,Agoriv causes Flembers.
first,drug,Agoriv,Ceflar,The drug Agoriv has been found to be associated with Ceflar.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
first,disease,Agoriv,Ceflar,The disease Agoriv has been found to be associated with Ceflar.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
first,drug,Agoriv,Ceflar,The drug Agoriv has been found to be associated with Ceflar.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
first,disease,Agoriv,Ceflar,The disease Agoriv has been found to be associated with Ceflar.,Ceflar,Ceflar causes Agoriv.,Agoriv causes Ceflar.
second,drug,Agoriv,Ceflar,Agoriv has been found to be associated with the drug Ceflar.,Agoriv,Agoriv causes Ceflar.,Ceflar causes Agoriv.
